Tipo Documento,Canal de Registro,Edad,Género,Nivel de Estudio,Título Homologado,Ciudad de Residencia,Fecha Registro,Programa de Gobierno,Condiciones Especiales,Situación Laboral,Fecha Actualización,Zona,Mes,Año,Punto Atención,Rango Edad
Cédula de Ciudadanía,Agencia,21,M,Técnica Laboral,MANTENIMIENTO DE EQUIPO DE COMPUTO,BARRANQUILLA,13/01/2020 10:55:50 a.m.,NA,NA,Desempleado,13/01/2020 10:55:50 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,24,F,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,08/01/2020 10:00:55 a.m.,NA,"Afrocolombianos, Retornado",Desempleado,08/01/2020 10:00:55 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Autoregistro,39,M,ND,ND,BARRANQUILLA,08/01/2020 10:25:33 a.m.,NA,NA,NO REGISTRA,08/01/2020 10:25:33 a.m.,ND,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,17,M,Técnica Laboral,"tecnico laborar por competencias auxiliar de grabacion y edicion de video, sonidio y asnimaciones interactivas",BARRANQUILLA,08/01/2020 10:58:00 a.m.,NA,NA,Primer Empleo,08/01/2020 10:58:00 a.m.,Urbano,1,"2,020",Barrios Modelo,MENOR DE EDAD
Cédula de Ciudadanía,Agencia,31,M,Media(10-13),bachiller academico,BARRANQUILLA,08/01/2020 12:02:47 p.m.,NA,NA,Desempleado,08/01/2020 12:02:47 p.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,36,M,Técnica Laboral,MECÁNICO EN MAQUINAS DE CONFECCIÓN INDUSTRIAL,BARRANQUILLA,09/01/2020 12:14:00 p.m.,NA,NA,Desempleado,09/01/2020 12:14:00 p.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,50,F,Media(10-13),Bachiller academico,BARRANQUILLA,08/01/2020 01:07:13 p.m.,NA,NA,Desempleado,08/01/2020 01:07:13 p.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Cédula de Ciudadanía,Agencia,53,F,Universitaria,CONTADURIA,BARRANQUILLA,08/01/2020 03:34:46 p.m.,NA,NA,Desempleado,08/01/2020 03:34:46 p.m.,Urbano,1,"2,020",Barrios Modelo,51 - 60
Cédula de Ciudadanía,Agencia,51,F,Media(10-13),Bachiller academico,BARRANQUILLA,15/01/2020 09:25:32 a.m.,NA,NA,Desempleado,15/01/2020 09:25:32 a.m.,Urbano,1,"2,020",Barrios Modelo,51 - 60
Cédula de Ciudadanía,Agencia,26,M,Tecnológica,TECNOLOGÍA EN SISTEMA DE GESTIÓN AMBIENTAL,BARRANQUILLA,15/01/2020 10:29:32 a.m.,NA,NA,Desempleado,15/01/2020 10:29:32 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,34,F,ND,ND,BARRANQUILLA,15/01/2020 12:14:43 p.m.,NA,NA,NO REGISTRA,15/01/2020 12:14:43 p.m.,ND,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,42,M,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,10/01/2020 03:28:31 p.m.,NA,NA,Desempleado,10/01/2020 03:28:31 p.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Cédula de Ciudadanía,Agencia,23,F,Técnica Laboral,TÉCNICA LABORAR POR COMPETENCIAS EN ATENCIÓN A LA PRIMERA INFANCIA,BARRANQUILLA,16/01/2020 10:46:34 a.m.,NA,NA,Desempleado,16/01/2020 10:46:34 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,42,F,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,15/01/2020 02:48:09 p.m.,NA,NA,Desempleado,15/01/2020 02:48:09 p.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Cédula de Ciudadanía,Agencia,22,F,Tecnológica,"TECNOLOGA EN GESTION INTEGRADA DE LA CALIDAD, MEDIO AMBIENTE, SEGURIDAD Y SALUD EN EL TRABAJO",BARRANQUILLA,16/01/2020 03:47:35 p.m.,NA,NA,Desempleado,16/01/2020 03:47:35 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,21,M,Técnica Laboral,AUXILIAR EN SERVICIOS FARMACEUTICO,BARRANQUILLA,14/01/2020 02:55:48 p.m.,NA,NA,Desempleado,14/01/2020 02:55:48 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,41,F,ND,ND,BARRANQUILLA,14/01/2020 03:48:09 p.m.,NA,Retornado,Empleado,14/01/2020 03:48:09 p.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Cédula de Ciudadanía,Autoregistro,21,F,Media(10-13),Media,SOLEDAD,15/01/2020 07:47:12 p.m.,NA,NA,Primer Empleo,15/01/2020 07:47:12 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,25,F,Universitaria,ADMINISTRADOR DE EMPRESAS AGROPECUARIA,BARRANQUILLA,14/01/2020 04:35:52 p.m.,NA,NA,Desempleado,14/01/2020 04:35:52 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Autoregistro,28,F,Universitaria,Ingeniera Industrial,BARRANQUILLA,16/01/2020 04:44:36 p.m.,NA,NA,Desempleado,16/01/2020 04:44:36 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,23,F,Tecnológica,TECNOLOGA EN PROCESOS ADMINISTRATIVOS EN SALUD,BARRANQUILLA,17/01/2020 11:57:04 a.m.,NA,NA,Desempleado,17/01/2020 11:57:04 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,29,M,Universitaria,licenciado en educación artística,BARRANQUILLA,17/01/2020 03:21:57 p.m.,NA,NA,Desempleado,17/01/2020 03:21:57 p.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,20,M,Técnica Profesional,PROCESOS DE SALUD OCUPACIONAL Y DESARROLLO,BARRANQUILLA,17/01/2020 04:33:23 p.m.,NA,NA,Desempleado,17/01/2020 04:33:23 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Autoregistro,23,M,Universitaria,Psicólogo,BARRANQUILLA,17/01/2020 06:15:41 p.m.,NA,NA,Primer Empleo,17/01/2020 06:15:41 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,51,M,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,20/01/2020 09:32:16 a.m.,NA,NA,Desempleado,20/01/2020 09:32:16 a.m.,Urbano,1,"2,020",Barrios Modelo,51 - 60
Cédula de Ciudadanía,Agencia,45,M,Universitaria,ADMINISTRACION DE EMPRERSAS,BARRANQUILLA,20/01/2020 10:57:07 a.m.,NA,NA,Desempleado,20/01/2020 10:57:07 a.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Tarjeta de Identidad,Autoregistro,30,M,Técnica Profesional,tecnico medio en plantas navales,SOLEDAD,21/01/2020 10:39:56 a.m.,NA,NA,Desempleado,21/01/2020 10:39:56 a.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,30,M,Media(10-13),BACHILLER ACADEMICO CON ENFACIS EN EN ELECTRICIDAD Y ELECTRÓNICA,BARRANQUILLA,21/01/2020 09:18:03 a.m.,NA,NA,Desempleado,21/01/2020 09:18:03 a.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Agencia,45,F,Técnica Profesional,AUXILIAR DE ENFERMERIA,BARRANQUILLA,21/01/2020 03:11:44 p.m.,NA,NA,Empleado,21/01/2020 03:11:44 p.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Cédula de Ciudadanía,Agencia,23,F,Universitaria,LICENCIATURA EN EDUCACIÓN INFANTIL,BARRANQUILLA,21/01/2020 04:11:56 p.m.,NA,NA,Desempleado,21/01/2020 04:11:56 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,23,F,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,22/01/2020 02:48:08 p.m.,NA,NA,Primer Empleo,22/01/2020 02:48:08 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Autoregistro,22,M,Tecnológica,TECNOLOGIA EN MANTENIMIENTO EN LINEA DE AVIONES,BARRANQUILLA,22/01/2020 02:53:50 p.m.,NA,NA,Desempleado,22/01/2020 02:53:50 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,21,M,Técnica Laboral,VENTAS DE PRODUCTOS Y SERVICIOS,BARRANQUILLA,22/01/2020 10:59:01 a.m.,NA,NA,Desempleado,22/01/2020 10:59:01 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Autoregistro,53,F,Tecnológica,TECNOLOGIA ADMINISTRACION DE EMPRESAS Y FINANZAS,BARRANQUILLA,17/05/2017 11:46:35 a.m.,NA,NA,Independiente,29/10/2019 10:50:19 a.m.,Urbano,1,"2,020",Barrios Modelo,51 - 60
Cédula de Ciudadanía,Agencia,19,M,Técnica Laboral,Técnico laboral por competencias en operador de equipos pesado,BARRANQUILLA,23/01/2020 03:16:13 p.m.,NA,NA,Primer Empleo,23/01/2020 03:16:13 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,20,M,Técnica Laboral,TECNICO LABORAL EN MANTENIMIENTO DE COMPUTADORES,BARRANQUILLA,23/01/2020 04:29:31 p.m.,NA,NA,Primer Empleo,23/01/2020 04:29:31 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Autoregistro,24,F,Universitaria,ingenieria ambiental.,BARRANQUILLA,30/05/2018 11:55:37 a.m.,NA,NA,Desempleado,18/09/2019 06:41:25 p.m.,Rural,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,45,F,Media(10-13),BACHILLER ACADÉMICO,BARRANQUILLA,24/01/2020 02:43:03 p.m.,NA,NA,Desempleado,24/01/2020 02:43:03 p.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Cédula de Ciudadanía,Agencia,30,F,Tecnológica,TECNOLOGIA EN EMPRESAS TURISTICAS Y HOTELERAS,BARRANQUILLA,24/01/2020 03:12:05 p.m.,NA,NA,Desempleado,24/01/2020 03:12:05 p.m.,Urbano,1,"2,020",Barrios Modelo,29 - 39
Cédula de Ciudadanía,Autoregistro,22,M,Universitaria,PROFESIONAL EN CONTADURIA PUBLICA,BARRANQUILLA,26/01/2020 11:46:23 a.m.,NA,NA,Primer Empleo,26/01/2020 11:46:23 a.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,24,M,Técnica Laboral,TECNICO EN MERCADEO Y VENTAS,BARRANQUILLA,27/01/2020 12:06:48 p.m.,NA,NA,Desempleado,27/01/2020 12:06:48 p.m.,Urbano,1,"2,020",Barrios Modelo,18 - 28
Cédula de Ciudadanía,Agencia,40,F,Técnica Laboral,TECNICO EN AUXILIAR DE ENFERMERIA,BARRANQUILLA,28/01/2020 08:26:49 a.m.,NA,NA,Desempleado,28/01/2020 08:26:49 a.m.,Urbano,1,"2,020",Barrios Modelo,40 - 50
Cédula de Ciudadanía,Agencia,23,M,Técnica Laboral,Técnico en Mantenimiento de Sistemas Informáticos,BARRANQUILLA,27/01/2020 02:35:03 p.m.,NA,NA,Desempleado,27/01/2020 02:35:03 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,20,F,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,27/01/2020 02:49:18 p.m.,NA,NA,Desempleado,27/01/2020 02:49:18 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,27,F,Media(10-13),BACHILLER ACADEMICO,BARRANQUILLA,27/01/2020 03:18:25 p.m.,NA,NA,Desempleado,27/01/2020 03:18:25 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Autoregistro,29,M,Universitaria,ADMINISTRADOR DE NEGOCIOS,BARRANQUILLA,11/06/2019 11:36:11 a.m.,NA,NA,Independiente,02/07/2019 03:50:30 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,53,F,Media(10-13),bachiller academico,BARRANQUILLA,27/01/2020 03:31:40 p.m.,NA,NA,Desempleado,27/01/2020 03:31:40 p.m.,Urbano,1,"2,020",Barrios San José,51 - 60
Cédula de Ciudadanía,Agencia,32,F,Técnica Laboral,Técnico Laboral en Belleza,BARRANQUILLA,28/01/2020 10:35:42 a.m.,NA,NA,Desempleado,28/01/2020 10:35:42 a.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,21,F,Técnica Laboral,Auxiliar Contable y Financiero,BARRANQUILLA,28/01/2020 11:02:50 a.m.,NA,NA,Desempleado,28/01/2020 11:02:50 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,19,M,Técnica Laboral,Operador Maquinaria Pesada,BARRANQUILLA,28/01/2020 11:04:16 a.m.,NA,NA,Desempleado,28/01/2020 11:04:16 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,28,F,Media(10-13),Bachiller Académico,BARRANQUILLA,28/01/2020 11:17:23 a.m.,NA,NA,Desempleado,28/01/2020 11:17:23 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,20,M,Técnica Profesional,Técnico Profesional en Procesos Administrativos,BARRANQUILLA,28/01/2020 11:32:05 a.m.,NA,NA,Desempleado,28/01/2020 11:32:05 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Autoregistro,41,M,ND,ND,BARRANQUILLA,28/01/2020 11:45:33 a.m.,NA,NA,NO REGISTRA,28/01/2020 11:45:33 a.m.,ND,1,"2,020",Barrios San José,40 - 50
Cédula de Ciudadanía,Agencia,33,F,Media(10-13),Bachiller,BARRANQUILLA,28/01/2020 11:56:17 a.m.,NA,NA,Desempleado,28/01/2020 11:56:17 a.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,53,F,Universitaria,Licenciada en Matemáticas,BARRANQUILLA,28/01/2020 12:37:57 p.m.,NA,NA,Desempleado,28/01/2020 12:37:57 p.m.,Urbano,1,"2,020",Barrios San José,51 - 60
Cédula de Ciudadanía,Agencia,19,M,Técnica Laboral,Técnico en Regeneria y Farmacia,BARRANQUILLA,28/01/2020 12:50:54 p.m.,NA,NA,Desempleado,28/01/2020 12:50:54 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Autoregistro,29,M,Universitaria,Abogado,BARRANQUILLA,27/01/2020 01:45:21 p.m.,NA,NA,Primer Empleo,27/01/2020 01:45:21 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,35,F,Técnica Profesional,TECNICO EN AUXILIAR DE PRESCOLAR,BARRANQUILLA,27/01/2020 01:55:10 p.m.,NA,NA,Desempleado,27/01/2020 01:55:10 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,22,M,Tecnológica,Tecnólogo en Construcción,BARRANQUILLA,27/01/2020 02:00:16 p.m.,NA,NA,Desempleado,27/01/2020 02:00:16 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,35,M,Básica Primaria(1-5),basica primaria,BARRANQUILLA,27/01/2020 01:04:27 p.m.,NA,NA,Desempleado,27/01/2020 01:04:27 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,26,F,Media(10-13),Bachiller Académico,BARRANQUILLA,27/01/2020 03:50:35 p.m.,NA,NA,Desempleado,27/01/2020 03:50:35 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Autoregistro,44,M,Técnica Laboral,Analista calidad en confecciones industriales,BARRANQUILLA,11/01/2019 11:25:43 a.m.,NA,NA,Desempleado,27/01/2020 03:54:46 p.m.,Urbano,1,"2,020",Barrios San José,40 - 50
Cédula de Ciudadanía,Agencia,33,M,Media(10-13),Bachiller académico,BARRANQUILLA,27/01/2020 04:22:06 p.m.,NA,NA,Desempleado,27/01/2020 04:22:06 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,20,M,Media(10-13),Bachiller,BARRANQUILLA,27/01/2020 04:50:55 p.m.,NA,NA,Desempleado,27/01/2020 04:50:55 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,46,F,Básica Secundaria(6-9),Académico,BARRANQUILLA,27/01/2020 08:10:19 a.m.,NA,NA,Desempleado,27/01/2020 08:10:19 a.m.,Urbano,1,"2,020",Barrios San José,40 - 50
Cédula de Ciudadanía,Autoregistro,51,F,ND,ND,BARRANQUILLA,25/01/2020 05:38:26 p.m.,NA,NA,NO REGISTRA,25/01/2020 05:38:26 p.m.,ND,1,"2,020",Barrios San José,51 - 60
Cédula de Ciudadanía,Autoregistro,22,F,Media(10-13),Bachiller academico,SOLEDAD,25/01/2020 11:00:53 p.m.,NA,NA,Primer Empleo,25/01/2020 11:00:53 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Autoregistro,35,M,ND,ND,BARRANQUILLA,26/01/2020 08:39:48 p.m.,NA,NA,NO REGISTRA,26/01/2020 08:39:48 p.m.,ND,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,39,M,ND,ND,BARRANQUILLA,27/01/2020 08:30:57 a.m.,NA,NA,Desempleado,27/01/2020 08:30:57 a.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Documento Nacional de Identificación,Agencia,44,M,Media(10-13),BACHILLER EN CIENCIAS,BARRANQUILLA,27/01/2020 08:33:45 a.m.,NA,NA,Desempleado,27/01/2020 08:33:45 a.m.,Urbano,1,"2,020",Barrios San José,40 - 50
Cédula de Ciudadanía,Agencia,22,M,Universitaria,Profesional en Finanzas y Negocios Internacionales,BARRANQUILLA,27/01/2020 09:24:52 a.m.,NA,NA,Desempleado,27/01/2020 09:24:52 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,24,F,Técnica Profesional,TECNICO EN SALUD OCUPACIONAL,BARRANQUILLA,27/01/2020 09:45:15 a.m.,NA,NA,Desempleado,27/01/2020 09:45:15 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,50,M,Universitaria,Contador Público,BARRANQUILLA,27/01/2020 10:56:17 a.m.,NA,NA,Desempleado,27/01/2020 10:56:17 a.m.,Urbano,1,"2,020",Barrios San José,40 - 50
Cédula de Ciudadanía,Autoregistro,19,M,ND,ND,BARANOA,27/01/2020 11:03:01 a.m.,NA,NA,Primer Empleo,27/01/2020 11:03:01 a.m.,Rural,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,26,F,Básica Secundaria(6-9),bachiller academico,BARRANQUILLA,27/01/2020 11:29:09 a.m.,NA,NA,Desempleado,27/01/2020 11:29:09 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,56,M,Media(10-13),Bachiller academico,BARRANQUILLA,27/01/2020 11:44:09 a.m.,NA,NA,Desempleado,27/01/2020 11:44:09 a.m.,Urbano,1,"2,020",Barrios San José,51 - 60
Documento Nacional de Identificación,Agencia,40,M,Media(10-13),Bachiller,BARRANQUILLA,27/01/2020 11:46:15 a.m.,NA,NA,Desempleado,27/01/2020 11:46:15 a.m.,Urbano,1,"2,020",Barrios San José,40 - 50
Cédula de Ciudadanía,Autoregistro,34,M,Técnica Laboral,tecnico laboral en locucion y medios audiovisuales,BARRANQUILLA,23/04/2018 01:24:29 a.m.,NA,NA,Desempleado,24/01/2020 04:25:38 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Autoregistro,53,M,ND,ND,BARRANQUILLA,25/01/2020 02:06:47 p.m.,NA,NA,NO REGISTRA,25/01/2020 02:06:47 p.m.,ND,1,"2,020",Barrios San José,51 - 60
Cédula de Ciudadanía,Agencia,33,M,Media(10-13),Bachiller,BARRANQUILLA,24/01/2020 02:47:21 p.m.,NA,NA,Desempleado,24/01/2020 02:47:21 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,24,F,Técnica Laboral,Técnico en Nomina y Prestaciones sociales,BARRANQUILLA,24/01/2020 01:48:05 p.m.,NA,NA,Desempleado,24/01/2020 01:48:05 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Documento Nacional de Identificación,Autoregistro,34,M,ND,ND,BARRANQUILLA,24/01/2020 01:57:55 p.m.,NA,NA,NO REGISTRA,24/01/2020 01:57:55 p.m.,ND,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Autoregistro,22,M,Técnica Profesional,procesos logisticos y de comercio exterior,BARRANQUILLA,24/01/2020 05:21:22 p.m.,NA,NA,Desempleado,24/01/2020 05:21:22 p.m.,Rural,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Autoregistro,21,F,ND,ND,BARRANQUILLA,28/01/2020 02:17:19 p.m.,NA,NA,NO REGISTRA,28/01/2020 02:17:19 p.m.,ND,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,22,F,Universitaria,ADMINISTRACIÓN FINANCIERA Y CONTABLE,BARRANQUILLA,28/01/2020 02:17:39 p.m.,NA,NA,Desempleado,28/01/2020 02:17:39 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,33,F,ND,ND,BARRANQUILLA,28/01/2020 02:29:36 p.m.,NA,NA,Desempleado,28/01/2020 02:29:36 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,23,F,Media(10-13),Bachiller academico,BARRANQUILLA,28/01/2020 02:56:36 p.m.,NA,NA,Desempleado,28/01/2020 02:56:36 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Autoregistro,25,F,Universitaria,Nutricionista Dietista,BARRANQUILLA,28/01/2020 03:14:39 p.m.,NA,NA,Desempleado,28/01/2020 03:14:39 p.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,35,F,Media(10-13),bachiller,BARRANQUILLA,28/01/2020 04:29:18 p.m.,NA,NA,Desempleado,28/01/2020 04:29:18 p.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Documento Nacional de Identificación,Agencia,38,M,Básica Secundaria(6-9),bachiller en ciencias,BARRANQUILLA,29/01/2020 08:35:32 a.m.,NA,NA,Desempleado,29/01/2020 08:35:32 a.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Documento Nacional de Identificación,Autoregistro,61,M,Maestría,MAESTRIA EN EDUCACIÓN MENCIÓN ENSEÑANZA DE LA MATEMÁTICA,BARRANQUILLA,29/01/2020 08:36:26 a.m.,NA,NA,Desempleado,29/01/2020 08:36:26 a.m.,Urbano,1,"2,020",Barrios San José,61 - 70
Cédula de Ciudadanía,Autoregistro,32,F,Universitaria,Psicóloga,BARRANQUILLA,29/01/2020 09:36:30 a.m.,NA,NA,Empleado,29/01/2020 09:36:30 a.m.,Urbano,1,"2,020",Barrios San José,29 - 39
Cédula de Ciudadanía,Agencia,22,M,Técnica Profesional,TÉCNICO EN OPERACIONES DE CAJA,BARRANQUILLA,29/01/2020 10:11:39 a.m.,NA,NA,Desempleado,29/01/2020 10:11:39 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Agencia,20,F,Técnica Laboral,TECNICO EN DESARROLLO DE OPERACIONES LOGÍSTICA EN LA CADENA DE ABASTECIMIENTO,BARRANQUILLA,29/01/2020 10:29:49 a.m.,NA,NA,Desempleado,29/01/2020 10:29:49 a.m.,Urbano,1,"2,020",Barrios San José,18 - 28
Cédula de Ciudadanía,Autoregistro,21,M,Media(10-13),bachillerato,BARRANQUILLA,29/01/2020 10:36:57 a.m.,Víctimas del conflicto armado,,NO REGISTRA,29/01/2020 10:36:57 a.m.,ND,1,"2,020",Barrios San José,18 - 28
